Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0031208	-	2L	+	7529	9484	0.462234	0.307535	0.766298
FBgn0002121	-	2L	-	9839	21376	41.767136	31.712936	79.020485
FBgn0051973	-	2L	-	25402	65404	0.503833	0.524640	1.307268
FBgn0267987	-	2L	+	54817	55767	0.000000	0.000000	0.000000
FBgn0266879	-	2L	+	66318	66524	0.000000	0.000000	0.000000
FBgn0067779	-	2L	+	66482	71390	32.008511	24.743692	61.654926
FBgn0266322	-	2L	-	71039	73836	0.641310	0.426678	1.063172
FBgn0031213	-	2L	+	71757	76211	17.068756	27.324877	68.086571
FBgn0031214	-	2L	+	76348	77783	0.000000	0.000000	0.000000
FBgn0002931	-	2L	-	82421	87387	0.000000	0.000000	0.000000
FBgn0031216	-	2L	+	94739	102086	22.629091	15.055645	37.514801
FBgn0031217	-	2L	+	102380	104142	46.590981	31.882750	79.443619
FBgn0026787	-	2L	-	103962	106732	14.228724	9.466691	23.588562
FBgn0005278	-	2L	+	106903	114432	112.341042	133.514008	332.682587
FBgn0031228	-	2L	+	114726	156030	24.305683	28.317249	70.559311
FBgn0031219	-	2L	-	115365	116488	0.172598	0.114833	0.286135
FBgn0031220	-	2L	-	116970	121754	0.129972	0.091133	0.227081
FBgn0288229	-	2L	-	122624	130791	26.873392	19.652439	48.968830
FBgn0266304	-	2L	+	122837	124031	0.038191	0.025409	0.063314
FBgn0001142	-	2L	+	132077	134472	95.850792	70.567810	175.836853
FBgn0265074	-	2L	+	135402	136128	0.000000	0.000000	0.000000
FBgn0265075	-	2L	+	136144	136701	0.000000	0.000000	0.000000
FBgn0051976	-	2L	-	138384	140992	0.000000	0.000000	0.000000
FBgn0051975	-	2L	-	138384	140992	0.000000	0.000000	0.000000
FBgn0051974	-	2L	-	141077	143091	0.389937	0.259434	0.646443
FBgn0031224	-	2L	+	143323	144227	11.597790	7.716272	19.226967
FBgn0259818	-	2L	-	144231	153300	0.201320	0.133943	0.333751
FBgn0031227	-	2L	-	153539	155305	5.453285	3.628194	9.040526
FBgn0031229	-	2L	+	156029	157666	51.695816	36.868923	91.867882
FBgn0053635	-	2L	-	157836	158664	5.331600	3.547234	8.838796
FBgn0016977	-	2L	+	159032	203397	35.630604	31.019962	77.293777
FBgn0031231	-	2L	+	203779	204782	38.267155	25.460001	63.439785
FBgn0031232	-	2L	-	204743	207297	0.249638	0.174716	0.435347
FBgn0031233	-	2L	+	207179	210725	30.396358	22.212273	55.347279
FBgn0266557	-	2L	-	210735	250823	61.960373	44.985500	112.092308
FBgn0265151	-	2L	+	219651	220050	0.000000	0.000000	0.000000
FBgn0265153	-	2L	+	223519	224708	0.000000	0.000000	0.000000
FBgn0265152	-	2L	+	228037	228588	0.000000	0.000000	0.000000
FBgn0263465	-	2L	-	232166	232253	0.000000	0.000000	0.000000
FBgn0031235	-	2L	+	232487	234208	0.000000	0.000000	0.000000
FBgn0262252	-	2L	-	243035	243141	0.000000	0.000000	0.000000
FBgn0265149	-	2L	+	248909	249812	0.000000	0.000000	0.000000
FBgn0283652	-	2L	-	251039	252373	13.368326	9.865400	24.582043
FBgn0031238	-	2L	-	252589	271744	22.642122	16.861914	42.015556
FBgn0031239	-	2L	-	259949	267505	0.048035	0.049819	0.124135
FBgn0265150	-	2L	+	262203	263003	0.000000	0.000000	0.000000
FBgn0031240	-	2L	+	269088	271626	0.000000	0.000000	0.000000
FBgn0086912	-	2L	-	271912	273715	158.022217	105.135750	261.971283
FBgn0086856	-	2L	+	273836	274766	144.624695	107.647980	268.231110
FBgn0086855	-	2L	-	274740	278234	45.486046	42.734001	106.482155
FBgn0003444	-	2L	+	277582	282167	39.699711	26.413113	65.814697
FBgn0031244	-	2L	-	281670	283269	7.281807	6.035058	15.037815
FBgn0031245	-	2L	-	283385	291795	0.405755	1.386599	3.455050
FBgn0267995	-	2L	+	283807	284255	0.000000	0.000000	0.000000
FBgn0267996	-	2L	+	286383	288292	0.000000	0.000000	0.000000
FBgn0025686	-	2L	-	287252	289144	0.014263	0.010088	0.025136
FBgn0031247	-	2L	+	292419	293222	44.681065	29.727322	74.072845
FBgn0017457	-	2L	-	292959	294681	49.519375	39.642376	98.778618
FBgn0024352	-	2L	+	295122	297449	359.336121	239.074432	595.712097
FBgn0020622	-	2L	+	297880	305233	60.961731	51.951378	129.449493
FBgn0004611	-	2L	+	305935	355566	11.432902	19.919943	49.635380
FBgn0263872	-	2L	-	308537	309348	0.036946	0.024581	0.061250
FBgn0031248	-	2L	-	318362	319259	0.463252	0.308212	0.767985
FBgn0031249	-	2L	-	320279	321248	0.167010	0.111116	0.276871
FBgn0053127	-	2L	+	322101	323091	0.000000	0.000000	0.000000
FBgn0264086	-	2L	-	325522	329761	0.000000	0.000000	0.000000
FBgn0051921	-	2L	-	329910	332335	0.000000	0.000000	0.000000
FBgn0031250	-	2L	-	355565	357874	15.379311	10.337464	25.758303
FBgn0266907	-	2L	+	355663	356891	0.000000	0.000000	0.000000
FBgn0266906	-	2L	+	357329	358174	0.000000	0.000000	0.000000
FBgn0000061	-	2L	+	378112	387439	0.000000	0.000000	0.000000
FBgn0263871	-	2L	+	396120	396571	0.000000	0.000000	0.000000
FBgn0031251	-	2L	-	396595	402198	0.177412	0.118036	0.294116
FBgn0003278	-	2L	+	404285	407969	14.493827	9.643070	24.028053
FBgn0264855	-	2L	-	408030	414777	49.827999	34.287975	85.436813
FBgn0263933	-	2L	+	415067	418536	132.491562	88.149628	219.646225
FBgn0031252	-	2L	-	418434	419652	40.656734	27.049845	67.401260
FBgn0002593	-	2L	+	419952	420864	1289.238281	929.819336	2316.870850
FBgn0031253	-	2L	-	420895	421450	30.661871	20.400036	50.831646
FBgn0031254	-	2L	+	421771	422489	0.000000	0.000000	0.000000
FBgn0031255	-	2L	+	422873	425321	0.000000	0.000000	0.000000
FBgn0004583	-	2L	+	431227	448701	3.775985	2.512248	6.259877
FBgn0263870	-	2L	+	439539	440104	0.000000	0.000000	0.000000
FBgn0015924	-	2L	-	448254	453024	76.289543	60.149273	149.876541
FBgn0031256	-	2L	+	453108	454654	70.234245	46.728428	116.435242
FBgn0262510	-	2L	+	454754	455313	43.124001	28.691370	71.491524
FBgn0031257	-	2L	+	455531	458745	0.000000	0.000000	0.000000
FBgn0031258	-	2L	-	458876	472200	0.419359	0.279009	0.695219
FBgn0027592	-	2L	+	473013	476170	27.685583	18.419844	45.897518
FBgn0003963	-	2L	+	476220	540560	4.960749	5.700344	14.203793
FBgn0043364	-	2L	-	476446	479688	23.869907	25.018814	62.340462
FBgn0267991	-	2L	+	490835	492649	1.703364	1.565304	3.900337
FBgn0267992	-	2L	-	500873	502236	0.000000	0.000000	0.000000
FBgn0010602	-	2L	-	540599	542580	186.642700	207.457016	516.929626
FBgn0031260	-	2L	-	542786	544653	54.703270	36.395321	90.687782
