Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0031208	-	2L	+	7529	9484	51.843086	50.786350	75.254364
FBgn0002121	-	2L	-	9839	21376	1.240430	1.336045	1.979730
FBgn0031209	-	2L	-	21823	25155	0.000000	0.000000	0.000000
FBgn0263584	-	2L	+	21952	24237	0.408072	0.399754	0.592349
FBgn0051973	-	2L	-	25402	65404	0.545158	0.835253	1.237663
FBgn0267987	-	2L	+	54817	55767	0.957939	0.938413	1.390525
FBgn0266879	-	2L	+	66318	66524	0.000000	0.000000	0.000000
FBgn0067779	-	2L	+	66482	71390	1.453212	1.542195	2.285198
FBgn0266322	-	2L	-	71039	73836	0.000000	0.000000	0.000000
FBgn0031213	-	2L	+	71757	76211	0.287126	0.602882	0.893340
FBgn0031214	-	2L	+	76348	77783	0.266328	0.260899	0.386596
FBgn0002931	-	2L	-	82421	87387	1.691236	1.656763	2.454964
FBgn0031216	-	2L	+	94739	102086	0.191013	0.187120	0.277271
FBgn0031217	-	2L	+	102380	104142	3.698673	3.623282	5.368918
FBgn0026787	-	2L	-	103962	106732	3.266954	3.200363	4.742244
FBgn0005278	-	2L	+	106903	114432	6.189402	10.840640	16.063478
FBgn0031228	-	2L	+	114726	156030	75.163666	119.808609	177.530380
FBgn0031219	-	2L	-	115365	116488	0.526690	0.515954	0.764532
FBgn0031220	-	2L	-	116970	121754	0.037642	0.038862	0.057586
FBgn0288229	-	2L	-	122624	130791	18.070326	20.059710	29.724140
FBgn0266304	-	2L	+	122837	124031	4.038246	3.955933	5.861835
FBgn0001142	-	2L	+	132077	134472	9.431553	11.632088	17.236233
FBgn0265074	-	2L	+	135402	136128	0.000000	0.000000	0.000000
FBgn0265075	-	2L	+	136144	136701	0.000000	0.000000	0.000000
FBgn0051976	-	2L	-	138384	140992	0.000000	0.000000	0.000000
FBgn0051975	-	2L	-	138384	140992	0.180870	0.177183	0.262547
FBgn0051974	-	2L	-	141077	143091	3.703878	3.628381	5.376473
FBgn0031224	-	2L	+	143323	144227	10.872929	10.651302	15.782922
FBgn0259818	-	2L	-	144231	153300	2.624694	2.571194	3.809952
FBgn0031227	-	2L	-	153539	155305	10.910673	10.688277	15.837709
FBgn0031229	-	2L	+	156029	157666	3.212889	3.147400	4.663764
FBgn0053635	-	2L	-	157836	158664	1.893368	1.854775	2.748374
FBgn0016977	-	2L	+	159032	203397	0.934291	1.047213	1.551743
FBgn0031231	-	2L	+	203779	204782	62.502769	61.228756	90.727737
FBgn0031232	-	2L	-	204743	207297	0.000000	0.000000	0.000000
FBgn0031233	-	2L	+	207179	210725	6.139188	6.598628	9.777736
FBgn0266557	-	2L	-	210735	250823	2.528546	2.570722	3.809253
FBgn0265151	-	2L	+	219651	220050	3.787500	3.710298	5.497858
FBgn0265153	-	2L	+	223519	224708	0.093277	0.091376	0.135399
FBgn0265152	-	2L	+	228037	228588	19.386562	18.991400	28.141136
FBgn0263465	-	2L	-	232166	232253	0.000000	0.000000	0.000000
FBgn0031235	-	2L	+	232487	234208	28.988682	28.397797	42.079380
FBgn0262252	-	2L	-	243035	243141	0.000000	0.000000	0.000000
FBgn0265149	-	2L	+	248909	249812	0.000000	0.000000	0.000000
FBgn0283652	-	2L	-	251039	252373	3.876923	3.797899	5.627662
FBgn0031238	-	2L	-	252589	271744	7.529351	7.962176	11.798219
FBgn0031239	-	2L	-	259949	267505	0.258334	0.292555	0.433503
FBgn0265150	-	2L	+	262203	263003	18.885639	18.500689	27.414009
FBgn0031240	-	2L	+	269088	271626	179.610260	175.949203	260.718567
FBgn0086912	-	2L	-	271912	273715	11.315490	11.084843	16.425335
FBgn0086856	-	2L	+	273836	274766	6.103115	6.706244	9.937199
FBgn0086855	-	2L	-	274740	278234	7.757236	8.001958	11.857166
FBgn0003444	-	2L	+	277582	282167	0.383723	0.375901	0.557004
FBgn0031244	-	2L	-	281670	283269	15.496812	19.150928	28.377523
FBgn0031245	-	2L	-	283385	291795	4.779115	21.837461	32.358383
FBgn0267995	-	2L	+	283807	284255	8.268681	8.100138	12.002647
FBgn0267996	-	2L	+	286383	288292	0.000000	0.000000	0.000000
FBgn0025686	-	2L	-	287252	289144	0.779715	0.763822	1.131818
FBgn0031247	-	2L	+	292419	293222	620.515747	607.867615	900.728027
